feature_name,category,description,interpretation
aisle_73_facial care,aisle_preference,Proportion of items from facial care,Higher = user shops more in this aisle
aisle_74_dish detergents,aisle_preference,Proportion of items from dish detergents,Higher = user shops more in this aisle
aisle_75_laundry,aisle_preference,Proportion of items from laundry,Higher = user shops more in this aisle
aisle_76_indian foods,aisle_preference,Proportion of items from indian foods,Higher = user shops more in this aisle
aisle_77_soft drinks,aisle_preference,Proportion of items from soft drinks,Higher = user shops more in this aisle
aisle_78_crackers,aisle_preference,Proportion of items from crackers,Higher = user shops more in this aisle
aisle_79_frozen pizza,aisle_preference,Proportion of items from frozen pizza,Higher = user shops more in this aisle
aisle_80_deodorants,aisle_preference,Proportion of items from deodorants,Higher = user shops more in this aisle
aisle_81_canned jarred vegetables,aisle_preference,Proportion of items from canned jarred vegetables,Higher = user shops more in this aisle
aisle_82_baby accessories,aisle_preference,Proportion of items from baby accessories,Higher = user shops more in this aisle
aisle_83_fresh vegetables,aisle_preference,Proportion of items from fresh vegetables,Higher = user shops more in this aisle
aisle_84_milk,aisle_preference,Proportion of items from milk,Higher = user shops more in this aisle
aisle_85_food storage,aisle_preference,Proportion of items from food storage,Higher = user shops more in this aisle
aisle_86_eggs,aisle_preference,Proportion of items from eggs,Higher = user shops more in this aisle
aisle_87_more household,aisle_preference,Proportion of items from more household,Higher = user shops more in this aisle
aisle_88_spreads,aisle_preference,Proportion of items from spreads,Higher = user shops more in this aisle
aisle_89_salad dressing toppings,aisle_preference,Proportion of items from salad dressing toppings,Higher = user shops more in this aisle
aisle_90_cocoa drink mixes,aisle_preference,Proportion of items from cocoa drink mixes,Higher = user shops more in this aisle
aisle_91_soy lactosefree,aisle_preference,Proportion of items from soy lactosefree,Higher = user shops more in this aisle
aisle_92_baby food formula,aisle_preference,Proportion of items from baby food formula,Higher = user shops more in this aisle
aisle_93_breakfast bakery,aisle_preference,Proportion of items from breakfast bakery,Higher = user shops more in this aisle
aisle_94_tea,aisle_preference,Proportion of items from tea,Higher = user shops more in this aisle
aisle_95_canned meat seafood,aisle_preference,Proportion of items from canned meat seafood,Higher = user shops more in this aisle
aisle_96_lunch meat,aisle_preference,Proportion of items from lunch meat,Higher = user shops more in this aisle
aisle_97_baking supplies decor,aisle_preference,Proportion of items from baking supplies decor,Higher = user shops more in this aisle
aisle_98_juice nectars,aisle_preference,Proportion of items from juice nectars,Higher = user shops more in this aisle
aisle_99_canned fruit applesauce,aisle_preference,Proportion of items from canned fruit applesauce,Higher = user shops more in this aisle
aisle_100_missing,aisle_preference,Proportion of items from missing,Higher = user shops more in this aisle
aisle_101_air fresheners candles,aisle_preference,Proportion of items from air fresheners candles,Higher = user shops more in this aisle
aisle_102_baby bath body care,aisle_preference,Proportion of items from baby bath body care,Higher = user shops more in this aisle
aisle_103_ice cream toppings,aisle_preference,Proportion of items from ice cream toppings,Higher = user shops more in this aisle
aisle_104_spices seasonings,aisle_preference,Proportion of items from spices seasonings,Higher = user shops more in this aisle
aisle_105_doughs gelatins bake mixes,aisle_preference,Proportion of items from doughs gelatins bake mixes,Higher = user shops more in this aisle
aisle_106_hot dogs bacon sausage,aisle_preference,Proportion of items from hot dogs bacon sausage,Higher = user shops more in this aisle
aisle_107_chips pretzels,aisle_preference,Proportion of items from chips pretzels,Higher = user shops more in this aisle
aisle_108_other creams cheeses,aisle_preference,Proportion of items from other creams cheeses,Higher = user shops more in this aisle
aisle_109_skin care,aisle_preference,Proportion of items from skin care,Higher = user shops more in this aisle
aisle_110_pickled goods olives,aisle_preference,Proportion of items from pickled goods olives,Higher = user shops more in this aisle
aisle_111_plates bowls cups flatware,aisle_preference,Proportion of items from plates bowls cups flatware,Higher = user shops more in this aisle
aisle_112_bread,aisle_preference,Proportion of items from bread,Higher = user shops more in this aisle
aisle_113_frozen juice,aisle_preference,Proportion of items from frozen juice,Higher = user shops more in this aisle
aisle_114_cleaning products,aisle_preference,Proportion of items from cleaning products,Higher = user shops more in this aisle
aisle_115_water seltzer sparkling water,aisle_preference,Proportion of items from water seltzer sparkling water,Higher = user shops more in this aisle
aisle_116_frozen produce,aisle_preference,Proportion of items from frozen produce,Higher = user shops more in this aisle
aisle_117_nuts seeds dried fruit,aisle_preference,Proportion of items from nuts seeds dried fruit,Higher = user shops more in this aisle
aisle_118_first aid,aisle_preference,Proportion of items from first aid,Higher = user shops more in this aisle
aisle_119_frozen dessert,aisle_preference,Proportion of items from frozen dessert,Higher = user shops more in this aisle
aisle_120_yogurt,aisle_preference,Proportion of items from yogurt,Higher = user shops more in this aisle
aisle_121_cereal,aisle_preference,Proportion of items from cereal,Higher = user shops more in this aisle
aisle_122_meat counter,aisle_preference,Proportion of items from meat counter,Higher = user shops more in this aisle
aisle_123_packaged vegetables fruits,aisle_preference,Proportion of items from packaged vegetables fruits,Higher = user shops more in this aisle
aisle_124_spirits,aisle_preference,Proportion of items from spirits,Higher = user shops more in this aisle
aisle_125_trail mix snack mix,aisle_preference,Proportion of items from trail mix snack mix,Higher = user shops more in this aisle
aisle_126_feminine care,aisle_preference,Proportion of items from feminine care,Higher = user shops more in this aisle
aisle_127_body lotions soap,aisle_preference,Proportion of items from body lotions soap,Higher = user shops more in this aisle
aisle_128_tortillas flat bread,aisle_preference,Proportion of items from tortillas flat bread,Higher = user shops more in this aisle
aisle_129_frozen appetizers sides,aisle_preference,Proportion of items from frozen appetizers sides,Higher = user shops more in this aisle
aisle_130_hot cereal pancake mixes,aisle_preference,Proportion of items from hot cereal pancake mixes,Higher = user shops more in this aisle
aisle_131_dry pasta,aisle_preference,Proportion of items from dry pasta,Higher = user shops more in this aisle
aisle_132_beauty,aisle_preference,Proportion of items from beauty,Higher = user shops more in this aisle
aisle_133_muscles joints pain relief,aisle_preference,Proportion of items from muscles joints pain relief,Higher = user shops more in this aisle
aisle_134_specialty wines champagnes,aisle_preference,Proportion of items from specialty wines champagnes,Higher = user shops more in this aisle
aisle_entropy,aisle_preference,Proportion of items from entropy,Higher = user shops more in this aisle
reorder_ratio,reorder_behavior,Proportion of items that are reorders,Higher = more loyal/habitual shopper
reorder_consistency,reorder_behavior,Std dev of reorder ratio across orders,Lower = consistent reordering behavior
pct_reordered_products,reorder_behavior,Percentage of unique products reordered,Higher = larger set of repeat purchases
mean_days_between_orders,temporal_regularity,Average days between consecutive orders,Lower = more frequent shopper
cv_days_between_orders,temporal_regularity,CV of days between orders (consistency),Lower = more regular ordering pattern
mean_order_hour,temporal_regularity,Average hour of day for ordering,Morning vs. evening shopper preference
std_order_hour,temporal_regularity,Std dev of order hour (time consistency),Lower = consistent time preference
avg_basket_size,basket_composition,Average items per order,Higher = bulk/stock-up shopper
std_basket_size,basket_composition,Std dev of basket size,Higher = variable basket sizes
min_basket_size,basket_composition,Minimum basket size,Smallest order placed
max_basket_size,basket_composition,Maximum basket size,Largest order placed (stock-up indicator)
basket_size_cv,basket_composition,CV of basket size (consistency),Lower = consistent basket sizes
unique_products,product_diversity,Total unique products purchased,Higher = explores more products
unique_aisles,product_diversity,Total unique aisles shopped,Higher = shops across more categories
aisle_entropy,product_diversity,Shannon entropy of aisle distribution,Higher = more diverse shopping (generalist)
